[20:52:44] [INFO] received Windows console close event; shutting log-core down
[20:55:15] [INFO] received Windows console close event; shutting log-core down
[20:57:25] [INFO] received Windows console close event; shutting log-core down
[20:58:09] [INFO] received Windows console close event; shutting log-core down
[21:23:58] [INFO] received Windows console close event; shutting log-core down
[21:27:27] [INFO] received Windows console close event; shutting log-core down
[21:29:04] [INFO] received Windows console close event; shutting log-core down
[21:30:45] [INFO] received Windows console close event; shutting log-core down
[21:35:39] [INFO] received Windows console close event; shutting log-core down
[00:55:21] [INFO] received Windows console close event; shutting log-core down
[01:19:04] [INFO] received Windows console close event; shutting log-core down
[01:20:15] [INFO] received Windows console close event; shutting log-core down
[01:21:27] [INFO] received Windows console close event; shutting log-core down
[01:22:26] [INFO] received Windows console close event; shutting log-core down
[01:23:07] [INFO] received Windows console close event; shutting log-core down
[01:24:12] [INFO] received Windows console close event; shutting log-core down
[01:32:30] [INFO] received Windows console close event; shutting log-core down
[01:32:51] [INFO] received Windows console close event; shutting log-core down
[01:34:27] [INFO] received Windows console close event; shutting log-core down
[01:39:13] [INFO] received Windows console close event; shutting log-core down
[01:41:50] [INFO] received Windows console close event; shutting log-core down
[11:28:14] [INFO] received Windows console close event; shutting log-core down
[11:29:55] [INFO] received Windows console close event; shutting log-core down
[11:52:40] [INFO] received Windows console close event; shutting log-core down
[11:56:00] [INFO] received Windows console close event; shutting log-core down
[12:00:09] [INFO] received Windows console close event; shutting log-core down
[12:49:34] [INFO] received Windows console close event; shutting log-core down
[14:12:47] [INFO] received Windows console close event; shutting log-core down
[14:13:55] [INFO] received Windows console close event; shutting log-core down
[15:51:35] [INFO] received Windows console close event; shutting log-core down
[15:52:31] [INFO] received Windows console close event; shutting log-core down
[15:59:18] [INFO] received Windows console close event; shutting log-core down
[21:05:19] [INFO] received Windows console close event; shutting log-core down
[21:11:45] [INFO] received Windows console close event; shutting log-core down
[00:52:15] [INFO] received Windows console close event; shutting log-core down
[13:09:50] [INFO] received Windows console close event; shutting log-core down
[13:14:19] [INFO] received Windows console close event; shutting log-core down
[13:22:25] [INFO] received Windows console close event; shutting log-core down
[22:39:26] [INFO] received Windows console close event; shutting log-core down
[22:40:12] [INFO] received Windows console close event; shutting log-core down
[22:42:02] [INFO] received Windows console close event; shutting log-core down
[22:45:09] [INFO] received Windows console close event; shutting log-core down
[22:49:04] [INFO] received Windows console close event; shutting log-core down
[22:54:39] [INFO] received Windows console close event; shutting log-core down
[22:57:39] [INFO] received Windows console close event; shutting log-core down
[23:06:28] [INFO] received Windows console close event; shutting log-core down
[23:08:56] [INFO] received Windows console close event; shutting log-core down
[23:10:11] [INFO] received Windows console close event; shutting log-core down
[23:16:17] [INFO] received Windows console close event; shutting log-core down
[23:19:28] [INFO] received Windows console close event; shutting log-core down
[23:57:57] [INFO] received Windows console close event; shutting log-core down
[00:02:29] [INFO] received Windows console close event; shutting log-core down
[00:03:45] [INFO] received Windows console close event; shutting log-core down
[00:05:49] [INFO] received Windows console close event; shutting log-core down
[00:08:50] [INFO] received Windows console close event; shutting log-core down
[00:17:45] [INFO] received Windows console close event; shutting log-core down
[00:20:13] [INFO] received Windows console close event; shutting log-core down
[00:22:50] [INFO] received Windows console close event; shutting log-core down
[00:26:05] [INFO] received Windows console close event; shutting log-core down
[00:28:14] [INFO] received Windows console close event; shutting log-core down
[00:30:09] [INFO] received Windows console close event; shutting log-core down
[00:31:40] [INFO] received Windows console close event; shutting log-core down
[00:33:30] [INFO] received Windows console close event; shutting log-core down
[00:36:15] [INFO] received Windows console close event; shutting log-core down
[00:54:08] [INFO] received Windows console close event; shutting log-core down
[03:23:03] [INFO] received Windows console close event; shutting log-core down
[04:13:55] [INFO] received Windows console close event; shutting log-core down
[13:53:04] [INFO] received Windows console close event; shutting log-core down
[13:54:14] [INFO] received Windows console close event; shutting log-core down
[13:58:19] [INFO] received Windows console close event; shutting log-core down
[14:00:44] [INFO] received Windows console close event; shutting log-core down
[14:04:45] [INFO] received Windows console close event; shutting log-core down
[14:06:24] [INFO] received Windows console close event; shutting log-core down
[14:07:15] [INFO] received Windows console close event; shutting log-core down
[14:08:15] [INFO] received Windows console close event; shutting log-core down
[14:10:29] [INFO] received Windows console close event; shutting log-core down
[14:20:02] [INFO] received Windows console close event; shutting log-core down
[14:45:22] [INFO] received Windows console close event; shutting log-core down
[22:21:44] [INFO] received Windows console close event; shutting log-core down
[13:22:01] [INFO] received Windows console close event; shutting log-core down
[13:30:22] [INFO] received Windows console close event; shutting log-core down
