[20:51:22] [WARNING] mysql_connect: no password specified
[20:53:27] [WARNING] mysql_connect: no password specified
[20:56:26] [WARNING] mysql_connect: no password specified
[20:57:58] [WARNING] mysql_connect: no password specified
[21:23:00] [WARNING] mysql_connect: no password specified
[21:25:53] [WARNING] mysql_connect: no password specified
[21:28:30] [WARNING] mysql_connect: no password specified
[21:30:00] [WARNING] mysql_connect: no password specified
[21:32:31] [WARNING] mysql_connect: no password specified
[21:04:11] [ERROR] mysql_format: invalid connection handle '1'
[21:04:11] [ERROR] mysql_query: invalid connection handle '1'
[21:04:11] [ERROR] mysql_errno: invalid connection handle '1'
[21:10:46] [ERROR] mysql_format: invalid connection handle '1'
[21:10:46] [ERROR] mysql_query: invalid connection handle '1'
[21:10:46] [ERROR] mysql_errno: invalid connection handle '1'
[00:50:34] [ERROR] mysql_format: invalid connection handle '1'
[00:50:34] [ERROR] mysql_query: invalid connection handle '1'
[00:50:34] [ERROR] mysql_errno: invalid connection handle '1'
[13:08:53] [ERROR] mysql_format: invalid connection handle '1'
[13:08:53] [ERROR] mysql_query: invalid connection handle '1'
[13:08:53] [ERROR] mysql_errno: invalid connection handle '1'
[13:08:58] [ERROR] mysql_format: invalid connection handle '1'
[13:08:58] [ERROR] mysql_query: invalid connection handle '1'
[13:08:58] [ERROR] mysql_errno: invalid connection handle '1'
[13:11:33] [ERROR] mysql_format: invalid connection handle '1'
[13:11:33] [ERROR] mysql_query: invalid connection handle '1'
[13:11:33] [ERROR] mysql_errno: invalid connection handle '1'
[13:11:38] [ERROR] mysql_format: invalid connection handle '1'
[13:11:38] [ERROR] mysql_query: invalid connection handle '1'
[13:11:38] [ERROR] mysql_errno: invalid connection handle '1'
[13:20:56] [ERROR] mysql_format: invalid connection handle '1'
[13:20:56] [ERROR] mysql_query: invalid connection handle '1'
[13:20:56] [ERROR] mysql_errno: invalid connection handle '1'
[13:21:06] [ERROR] mysql_format: invalid connection handle '1'
[13:21:06] [ERROR] mysql_query: invalid connection handle '1'
[13:21:06] [ERROR] mysql_errno: invalid connection handle '1'
[22:39:00] [ERROR] mysql_format: invalid connection handle '1'
[22:39:00] [ERROR] mysql_query: invalid connection handle '1'
[22:39:00] [ERROR] mysql_errno: invalid connection handle '1'
[22:39:56] [ERROR] mysql_format: invalid connection handle '1'
[22:39:56] [ERROR] mysql_query: invalid connection handle '1'
[22:39:56] [ERROR] mysql_errno: invalid connection handle '1'
[22:41:28] [ERROR] mysql_format: invalid connection handle '1'
[22:41:28] [ERROR] mysql_query: invalid connection handle '1'
